PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Label
-2409.996,3246.1023,1254.6575,-1441.9633,464.8413,-10.909422,2342.4377,1526.133,0
-3388.1604,2274.4111,1083.4888,-98.39965,493.65723,-550.7687,2284.441,-20.9067,0
1181.3324,-180.41617,-417.4648,-757.8329,953.7778,743.90686,1128.6893,-733.4064,0
-124.82063,-1755.2014,1189.8235,715.79645,2223.2146,-447.52335,-2161.637,1470.1467,0
-1212.471,1939.678,826.7108,-2351.9934,490.85983,1382.7006,777.2029,-65.038025,0
3035.9822,2014.4613,-3369.8875,2440.2932,-2531.4678,-114.38691,-277.7529,1060.5134,0
-1855.711,-71.99294,26.183435,1589.9889,-458.38934,-1111.0309,-1067.9991,1291.6785,0
-717.4233,1530.6376,1832.0852,-832.3175,763.022,567.2193,-534.2875,-161.5378,0
-2219.0662,703.4429,552.00323,1731.098,-326.2822,-88.295006,-54.379986,-918.5191,0
-1885.407,2041.0892,-1083.6023,-481.2325,-568.3022,-1139.6892,241.85184,1042.2122,0
-34.070316,512.2641,521.3913,-976.96796,345.44785,1247.039,692.3888,-110.17312,0
-143.96419,1377.4543,672.5762,-2042.1733,-649.2898,1267.1893,450.12408,-240.99284,0
-2192.8745,-2223.8428,-1064.2429,1140.52,1647.1466,116.683586,-587.5467,1284.5283,0
-822.94586,2224.132,2650.454,-1227.5658,2640.3132,-461.38516,326.9876,565.03265,0
-771.17633,1293.2529,1867.4294,-1047.6656,1540.7775,-662.85065,-2351.9893,582.50055,0
1947.0995,-302.69742,318.83395,1213.6584,74.33113,932.62476,620.3447,-591.80133,0
31.994406,-564.89453,-725.46173,-1297.0162,86.626335,1502.1614,1083.8887,504.73737,0
-2427.3787,606.4047,1595.3765,-1220.7296,1896.8218,-852.5207,-1199.5922,82.30382,0
-1703.0092,-2470.677,-1895.0529,2145.151,1146.4005,-506.78864,800.7592,-520.06793,0
-2245.843,4253.9155,3465.9717,-2150.436,2913.7576,499.02756,3023.6123,25.298262,0
-932.6928,-2422.0918,-621.2804,2416.3218,975.1046,-217.11784,969.04474,-62.18171,0
277.95297,1879.6147,296.58792,-1322.5004,33.05342,1227.7753,1146.0168,165.36617,0
-3209.3318,2402.1301,965.1031,-41.338013,56.003197,-1544.3396,1571.9838,310.4008,0
